word,pos_num,neg_num
taste,22127,6244
flavour,9993,2921
topping,11108,3539
chocolate,19629,8869
strawberry,6967,2249
vanilla,6632,2562
mango,4681,1252
caramel,4174,1575
banana,3497,2234
coconut,3996,1336
raspberry,1825,630
